time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:01:28 UTC,_000176,_000175,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:28.000000001 UTC,_000111,_000199,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:28.000000001 UTC,_000112,_000111,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:28.000000001 UTC,_000113,_000112,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:29 UTC,_000177,_000176,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:29 UTC,_000178,_000177,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:29.000000001 UTC,_000114,_000203,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:29.000000001 UTC,_000115,_000114,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:29.000000001 UTC,_000116,_000115,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:30 UTC,_000179,_000178,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
